iter	Passed	Remaining
0	27	2760
1	54	2668
2	83	2704
3	111	2673
4	148	2820
5	213	3348
6	280	3721
7	313	3600
8	341	3457
9	360	3241
10	392	3172
11	421	3087
12	447	2995
13	480	2953
14	514	2917
15	544	2856
16	577	2820
17	607	2765
18	639	2724
19	652	2609
20	683	2571
21	712	2526
22	742	2485
23	772	2445
24	803	2410
25	832	2369
26	868	2347
27	900	2316
28	933	2285
29	967	2258
30	999	2224
31	1030	2190
32	1060	2153
33	1090	2117
34	1123	2086
35	1152	2049
36	1180	2010
37	1211	1976
38	1242	1943
39	1274	1911
40	1306	1879
41	1335	1844
42	1368	1813
43	1403	1785
44	1435	1755
45	1467	1722
46	1499	1691
47	1525	1652
48	1555	1618
49	1588	1588
50	1621	1557
51	1653	1526
52	1686	1495
53	1714	1460
54	1743	1426
55	1773	1393
56	1804	1361
57	1839	1332
58	1875	1303
59	1904	1269
60	1934	1236
61	1962	1202
62	1993	1170
63	2021	1136
64	2050	1104
65	2079	1071
66	2109	1038
67	2139	1006
68	2171	975
69	2203	944
70	2236	913
71	2266	881
72	2296	849
73	2328	818
74	2360	786
75	2394	756
76	2424	724
77	2453	692
78	2484	660
79	2514	628
80	2545	597
81	2574	565
82	2604	533
83	2636	502
84	2671	471
85	2703	440
86	2732	408
87	2764	376
88	2796	345
89	2827	314
90	2854	282
91	2889	251
92	2925	220
93	2957	188
94	2988	157
95	3016	125
96	3043	94
97	3074	62
98	3102	31
99	3138	0
