iter	MultiClass
0	1.905141737
1	1.753585754
2	1.677494169
3	1.618263564
4	1.58239989
5	1.55158161
6	1.531739174
7	1.512735778
8	1.498693293
9	1.495084834
10	1.483795668
11	1.47582726
12	1.460115723
13	1.453447788
14	1.448019942
15	1.438157819
16	1.433307472
17	1.422566108
18	1.415077042
19	1.413815915
20	1.405897974
21	1.395717196
22	1.3843503
23	1.376508799
24	1.370484327
25	1.360116802
26	1.353410395
27	1.35170437
28	1.344983535
29	1.341074447
30	1.335676254
31	1.331180615
32	1.323550867
33	1.316746474
34	1.310174858
35	1.303991246
36	1.297587229
37	1.293715933
38	1.288414549
39	1.285069835
40	1.281040421
41	1.275678313
42	1.271663447
43	1.269801877
44	1.267814955
45	1.263168044
46	1.261073556
47	1.253531632
48	1.248646835
49	1.245697473
50	1.24305117
51	1.23872778
52	1.236488415
53	1.231929124
54	1.22680593
55	1.222299571
56	1.218263901
57	1.216774171
58	1.21635732
59	1.211795561
60	1.209252331
61	1.205079351
62	1.200704279
63	1.195607042
64	1.19240998
65	1.18895725
66	1.186098357
67	1.181107474
68	1.177928903
69	1.174481558
70	1.172088469
71	1.168642968
72	1.165016149
73	1.161576337
74	1.159359972
75	1.157567599
76	1.153454658
77	1.149798726
78	1.145967591
79	1.144931675
80	1.142741596
81	1.138868586
82	1.136179174
83	1.132657806
84	1.131656844
85	1.129952926
86	1.124765206
87	1.12245687
88	1.119790438
89	1.117059197
90	1.112420255
91	1.110723794
92	1.10920162
93	1.106415341
94	1.104399556
95	1.10093544
96	1.097424608
97	1.095222941
98	1.0925768
99	1.091518725
