iter	Passed	Remaining
0	33	3295
1	91	4506
2	122	3946
3	149	3598
4	180	3420
5	208	3260
6	239	3180
7	269	3104
8	297	3012
9	329	2969
10	364	2950
11	391	2871
12	418	2802
13	454	2790
14	482	2733
15	524	2754
16	558	2727
17	592	2699
18	619	2642
19	653	2614
20	733	2759
21	765	2715
22	795	2661
23	825	2615
24	857	2573
25	886	2523
26	917	2481
27	950	2445
28	981	2401
29	1009	2356
30	1038	2310
31	1068	2269
32	1099	2232
33	1132	2197
34	1162	2158
35	1192	2119
36	1222	2081
37	1259	2054
38	1294	2025
39	1328	1993
40	1363	1962
41	1398	1930
42	1428	1893
43	1457	1855
44	1487	1818
45	1517	1781
46	1546	1744
47	1581	1713
48	1616	1682
49	1645	1645
50	1675	1610
51	1707	1576
52	1733	1536
53	1764	1502
54	1800	1473
55	1830	1438
56	1861	1404
57	1894	1371
58	1924	1337
59	1955	1303
60	1985	1269
61	2014	1234
62	2044	1200
63	2073	1166
64	2107	1134
65	2140	1102
66	2173	1070
67	2202	1036
68	2233	1003
69	2263	970
70	2293	936
71	2325	904
72	2353	870
73	2380	836
74	2410	803
75	2439	770
76	2470	737
77	2501	705
78	2532	673
79	2563	640
80	2594	608
81	2624	576
82	2656	544
83	2685	511
84	2717	479
85	2753	448
86	2783	415
87	2813	383
88	2842	351
89	2871	319
90	2898	286
91	2929	254
92	2959	222
93	2989	190
94	3023	159
95	3052	127
96	3084	95
97	3114	63
98	3143	31
99	3177	0
