iter	MultiClass
0	1.908010817
1	1.740836422
2	1.656236001
3	1.605611318
4	1.571058016
5	1.544125224
6	1.519921396
7	1.50437547
8	1.490212076
9	1.480964813
10	1.477047919
11	1.462477164
12	1.450150371
13	1.445272543
14	1.432743852
15	1.43129136
16	1.430334199
17	1.42400511
18	1.412670812
19	1.405605658
20	1.394735758
21	1.389104803
22	1.379575935
23	1.369271261
24	1.360726305
25	1.353857856
26	1.347379301
27	1.343648745
28	1.336736209
29	1.329051703
30	1.322621617
31	1.317659109
32	1.31271452
33	1.309360578
34	1.304415705
35	1.298147619
36	1.295123281
37	1.291918278
38	1.288111716
39	1.285604542
40	1.283221822
41	1.280733641
42	1.277028007
43	1.271713327
44	1.267425783
45	1.262527131
46	1.256798088
47	1.254000098
48	1.25149835
49	1.246202706
50	1.242982069
51	1.238445213
52	1.230279069
53	1.227540199
54	1.226142428
55	1.222474502
56	1.221680403
57	1.21867362
58	1.215972827
59	1.213429713
60	1.207966876
61	1.202783604
62	1.200765002
63	1.196229788
64	1.194019486
65	1.190189362
66	1.1873582
67	1.182844098
68	1.180101989
69	1.176410703
70	1.172526477
71	1.170936205
72	1.166616507
73	1.162237206
74	1.160192533
75	1.15489551
76	1.152212378
77	1.149436381
78	1.146023971
79	1.142147507
80	1.138450285
81	1.135008732
82	1.132721071
83	1.129346881
84	1.12707032
85	1.126036157
86	1.123107571
87	1.11849075
88	1.114318624
89	1.110166614
90	1.106371282
91	1.104196746
92	1.100655492
93	1.096640931
94	1.09470803
95	1.092563725
96	1.089626073
97	1.087526159
98	1.084656727
99	1.083064184
