iter	Passed	Remaining
0	98	9738
1	127	6227
2	159	5142
3	188	4526
4	218	4157
5	246	3856
6	277	3690
7	301	3463
8	334	3378
9	360	3245
10	389	3152
11	420	3086
12	453	3032
13	486	2990
14	519	2943
15	555	2914
16	590	2882
17	638	2909
18	674	2876
19	713	2853
20	745	2802
21	778	2758
22	810	2711
23	840	2660
24	868	2604
25	896	2550
26	926	2506
27	958	2465
28	986	2415
29	1017	2373
30	1046	2330
31	1076	2287
32	1107	2248
33	1139	2212
34	1171	2175
35	1201	2136
36	1234	2101
37	1268	2070
38	1298	2030
39	1329	1993
40	1363	1962
41	1392	1923
42	1418	1880
43	1450	1846
44	1480	1810
45	1515	1778
46	1551	1749
47	1586	1718
48	1619	1686
49	1652	1652
50	1682	1616
51	1714	1582
52	1744	1547
53	1777	1513
54	1807	1479
55	1841	1446
56	1872	1412
57	1901	1377
58	1934	1344
59	1967	1311
60	2001	1279
61	2030	1244
62	2066	1213
63	2099	1181
64	2139	1151
65	2172	1119
66	2202	1084
67	2232	1050
68	2262	1016
69	2291	982
70	2323	948
71	2354	915
72	2385	882
73	2420	850
74	2455	818
75	2488	785
76	2518	752
77	2549	719
78	2577	685
79	2613	653
80	2643	619
81	2677	587
82	2709	554
83	2738	521
84	2766	488
85	2797	455
86	2824	422
87	2859	389
88	2890	357
89	2924	324
90	2958	292
91	2990	260
92	3019	227
93	3053	194
94	3085	162
95	3115	129
96	3144	97
97	3175	64
98	3207	32
99	3242	0
