iter	MultiClass
0	1.896770526
1	1.74561296
2	1.663669357
3	1.606537086
4	1.566153434
5	1.544449303
6	1.521802064
7	1.516851361
8	1.498272348
9	1.492681214
10	1.480093619
11	1.464629894
12	1.452677019
13	1.442706855
14	1.436739751
15	1.42969644
16	1.416595722
17	1.41122066
18	1.400705862
19	1.398071531
20	1.391591768
21	1.388289206
22	1.384071467
23	1.378780404
24	1.37249299
25	1.365336429
26	1.354295748
27	1.345149608
28	1.336527725
29	1.331562417
30	1.328282907
31	1.320607914
32	1.315302261
33	1.306930578
34	1.299597064
35	1.292951657
36	1.287790661
37	1.28295746
38	1.276254325
39	1.270271404
40	1.26491237
41	1.258797703
42	1.254224304
43	1.247956053
44	1.246127781
45	1.241822654
46	1.237184088
47	1.232598212
48	1.231526236
49	1.229073341
50	1.226807701
51	1.225024077
52	1.221044589
53	1.217533852
54	1.213697438
55	1.209004311
56	1.20825111
57	1.205712171
58	1.202344663
59	1.200067471
60	1.197806037
61	1.193986093
62	1.190514699
63	1.187058382
64	1.185860062
65	1.180506606
66	1.179347379
67	1.176977009
68	1.173742447
69	1.171225422
70	1.166408712
71	1.163843445
72	1.161531444
73	1.159597674
74	1.156652544
75	1.153690604
76	1.151927596
77	1.150836647
78	1.148721824
79	1.14574192
80	1.142540305
81	1.138988159
82	1.13658017
83	1.132218698
84	1.130599837
85	1.128365164
86	1.127518065
87	1.126569492
88	1.123784759
89	1.120367458
90	1.120052483
91	1.116969579
92	1.115689475
93	1.113727578
94	1.110116436
95	1.107362713
96	1.103530008
97	1.101512147
98	1.098218766
99	1.095657394
