iter	Passed	Remaining
0	33	3314
1	105	5174
2	140	4554
3	167	4009
4	195	3716
5	228	3579
6	254	3385
7	278	3197
8	307	3106
9	336	3027
10	364	2947
11	390	2862
12	419	2806
13	447	2751
14	478	2708
15	515	2706
16	546	2667
17	592	2698
18	622	2653
19	654	2618
20	689	2594
21	724	2569
22	757	2534
23	790	2501
24	821	2465
25	849	2416
26	876	2370
27	908	2334
28	935	2291
29	967	2257
30	1002	2230
31	1030	2189
32	1059	2151
33	1089	2114
34	1123	2085
35	1152	2048
36	1181	2012
37	1212	1977
38	1239	1939
39	1267	1901
40	1296	1865
41	1324	1829
42	1355	1796
43	1384	1762
44	1417	1732
45	1448	1700
46	1479	1668
47	1507	1633
48	1539	1602
49	1569	1569
50	1604	1541
51	1635	1509
52	1665	1476
53	1696	1445
54	1724	1411
55	1755	1378
56	1789	1349
57	1820	1317
58	1852	1286
59	1882	1255
60	1916	1225
61	1946	1193
62	1979	1162
63	2011	1131
64	2044	1100
65	2070	1066
66	2105	1037
67	2137	1005
68	2170	975
69	2199	942
70	2228	910
71	2260	879
72	2293	848
73	2323	816
74	2354	784
75	2386	753
76	2417	722
77	2451	691
78	2481	659
79	2513	628
80	2544	596
81	2574	565
82	2606	533
83	2636	502
84	2667	470
85	2701	439
86	2734	408
87	2766	377
88	2797	345
89	2824	313
90	2857	282
91	2889	251
92	2924	220
93	2958	188
94	2986	157
95	3017	125
96	3043	94
97	3074	62
98	3105	31
99	3134	0
