iter	Passed	Remaining
400	22268	16604
401	22330	16553
402	22380	16493
403	22437	16439
404	22498	16388
405	22547	16327
406	22601	16271
407	22659	16217
408	22707	16156
409	22760	16098
410	22826	16050
411	22879	15993
412	22928	15933
413	22985	15878
414	23040	15823
415	23091	15764
416	23149	15710
417	23212	15660
418	23265	15602
419	23316	15544
420	23375	15490
421	23431	15436
422	23489	15381
423	23540	15323
424	23605	15273
425	23657	15216
426	23707	15157
427	23767	15104
428	23820	15047
429	23885	14998
430	23938	14940
431	23989	14882
432	24041	14824
433	24097	14769
434	24156	14716
435	24207	14657
436	24273	14608
437	24322	14549
438	24386	14498
439	24438	14440
440	24491	14383
441	24544	14326
442	24588	14264
443	24647	14211
444	24704	14156
445	24761	14101
446	24824	14050
447	24874	13991
448	24930	13936
449	24985	13880
450	25039	13824
451	25095	13768
452	25157	13717
453	25214	13662
454	25280	13612
455	25340	13559
456	25391	13501
457	25445	13445
458	25502	13390
459	25559	13335
460	25614	13279
461	25669	13223
462	25723	13167
463	25774	13109
464	25831	13054
465	25877	12994
466	25932	12938
467	25990	12884
468	26047	12829
469	26097	12770
470	26142	12710
471	26199	12655
472	26250	12597
473	26301	12540
474	26368	12490
475	26423	12434
476	26481	12380
477	26533	12322
478	26580	12263
479	26644	12212
480	26693	12153
481	26750	12098
482	26798	12040
483	26861	11987
484	26911	11929
485	26966	11874
486	27028	11821
487	27092	11769
488	27147	11714
489	27201	11657
490	27261	11604
491	27309	11545
492	27373	11493
493	27424	11436
494	27493	11386
495	27549	11330
496	27608	11276
497	27661	11220
498	27715	11164
499	27764	11105
500	27821	11050
501	27873	10993
502	27928	10938
503	27982	10882
504	28037	10826
505	28100	10773
506	28155	10718
507	28211	10662
508	28258	10603
509	28312	10547
510	28363	10490
511	28419	10435
512	28482	10382
513	28540	10327
514	28592	10271
515	28646	10215
516	28705	10160
517	28756	10103
518	28824	10052
519	28881	9997
520	28940	9943
521	28996	9887
522	29046	9830
523	29105	9776
524	29160	9720
525	29208	9662
526	29260	9605
527	29310	9547
528	29369	9493
529	29422	9437
530	29478	9381
531	29530	9325
532	29586	9270
533	29653	9218
534	29719	9165
535	29780	9112
536	29838	9057
537	29895	9001
538	29954	8947
539	30011	8892
540	30064	8836
541	30118	8780
542	30181	8726
543	30239	8671
544	30296	8616
545	30356	8562
546	30407	8505
547	30458	8448
548	30512	8392
549	30559	8334
550	30626	8282
551	30684	8226
552	30730	8168
553	30789	8114
554	30852	8060
555	30902	8003
556	30959	7948
557	31014	7892
558	31074	7838
559	31132	7783
560	31187	7727
561	31240	7671
562	31291	7614
563	31361	7562
564	31415	7506
565	31466	7449
566	31520	7393
567	31570	7336
568	31637	7283
569	31691	7227
570	31745	7171
571	31806	7117
572	31857	7060
573	31911	7004
574	31971	6950
575	32029	6895
576	32082	6838
577	32130	6781
578	32177	6724
579	32230	6668
580	32277	6611
581	32345	6558
582	32400	6502
583	32453	6446
584	32505	6389
585	32562	6334
586	32617	6278
587	32667	6222
588	32737	6169
589	32790	6113
590	32845	6057
591	32896	6001
592	32960	5947
593	33018	5892
594	33091	5839
595	33153	5785
596	33206	5729
597	33264	5673
598	33318	5617
599	33368	5561
600	33415	5504
601	33488	5451
602	33545	5396
603	33604	5341
604	33661	5285
605	33717	5230
606	33769	5173
607	33835	5119
608	33892	5064
609	33940	5007
610	33987	4950
611	34040	4894
612	34091	4838
613	34154	4783
614	34230	4731
615	34292	4676
616	34352	4621
617	34414	4566
618	34464	4509
619	34517	4453
620	34584	4399
621	34634	4343
622	34695	4288
623	34742	4231
624	34805	4176
625	34866	4121
626	34922	4065
627	34982	4010
628	35034	3954
629	35092	3899
630	35151	3843
631	35203	3787
632	35258	3731
633	35321	3677
634	35376	3621
635	35439	3566
636	35494	3510
637	35546	3454
638	35604	3398
639	35660	3343
640	35731	3288
641	35795	3233
642	35851	3178
643	35899	3121
644	35959	3066
645	36020	3011
646	36070	2954
647	36137	2899
648	36190	2843
649	36252	2788
650	36309	2732
651	36369	2677
652	36423	2621
653	36472	2565
654	36527	2509
655	36580	2453
656	36634	2397
657	36686	2341
658	36742	2285
659	36800	2230
660	36864	2175
661	36924	2119
662	36992	2064
663	37055	2009
664	37113	1953
665	37165	1897
666	37221	1841
667	37283	1786
668	37346	1730
669	37399	1674
670	37453	1618
671	37514	1563
672	37574	1507
673	37632	1451
674	37686	1395
675	37738	1339
676	37790	1283
677	37857	1228
678	37917	1172
679	37980	1117
680	38042	1061
681	38100	1005
682	38148	949
683	38200	893
684	38257	837
685	38309	781
686	38372	726
687	38425	670
688	38483	614
689	38544	558
690	38597	502
691	38646	446
692	38692	390
693	38746	334
694	38801	279
695	38855	223
696	38914	167
697	38973	111
698	39032	55
699	39085	0
