iter	MultiClass
0	1.90216203
1	1.744721244
2	1.67181922
3	1.608466396
4	1.568609984
5	1.538230851
6	1.534270771
7	1.524554065
8	1.509075682
9	1.492648666
10	1.481302482
11	1.469708236
12	1.461211581
13	1.447391307
14	1.436263888
15	1.43062088
16	1.425804801
17	1.421754477
18	1.418109048
19	1.408299079
20	1.403300395
21	1.392998235
22	1.384543383
23	1.378986609
24	1.37251868
25	1.364907852
26	1.360504362
27	1.352616867
28	1.345531935
29	1.341851144
30	1.33449687
31	1.326571229
32	1.321574646
33	1.319275329
34	1.315606661
35	1.310279624
36	1.303500975
37	1.296177971
38	1.291406471
39	1.28638054
40	1.281242112
41	1.27763823
42	1.273335696
43	1.269345225
44	1.264740178
45	1.261407317
46	1.256515137
47	1.25354776
48	1.247649512
49	1.240708009
50	1.237971095
51	1.230923889
52	1.226513901
53	1.22386768
54	1.219431412
55	1.217290476
56	1.212472725
57	1.210784874
58	1.206410371
59	1.201841895
60	1.199929255
61	1.195180306
62	1.19485874
63	1.192696472
64	1.190234088
65	1.185857268
66	1.181897121
67	1.179537483
68	1.177268845
69	1.174253377
70	1.17080065
71	1.169144609
72	1.164640728
73	1.161469097
74	1.158279017
75	1.155064578
76	1.150448398
77	1.147749977
78	1.144211956
79	1.142159521
80	1.140567332
81	1.137279314
82	1.135000153
83	1.133528485
84	1.129864391
85	1.127923431
86	1.125101444
87	1.12158779
88	1.11913971
89	1.116220169
90	1.113264524
91	1.108103443
92	1.101936085
93	1.099529774
94	1.095969991
95	1.09178478
96	1.089175308
97	1.087785648
98	1.08561955
99	1.083748527
